"","coef.res.","2.5 %","97.5 %","summary(res)$coefficients[, 4]","r_squared","adj_r_squared","pregression"
"(Intercept)",11.3707374393182,10.2755994147088,12.4658754639277,1.18162656682262e-57,0.0813239376293926,0.0715853221272306,2.44266842666074e-05
"PER2CRY2GGAG",3.68809747065315,1.42705696104722,5.94913798025907,0.00147656702525975,0.0813239376293926,0.0715853221272306,2.44266842666074e-05
"PER3CVNTRGTBB",8.21414463923274,1.65744349800553,14.77084578046,0.01425768333894,0.0813239376293926,0.0715853221272306,2.44266842666074e-05
"GENDER",-2.92441039275498,-4.82682934407164,-1.02199144143832,0.00270767020445914,0.0813239376293926,0.0715853221272306,2.44266842666074e-05
