"","coef.res.","2.5 %","97.5 %","summary(res)$coefficients[, 4]","r_squared","adj_r_squared","pregression"
"(Intercept)",54.688436020747,50.7683845912766,58.6084874502173,5.11220149019054e-72,0.126927168809305,0.114630368369999,2.26251753504982e-06
"CRY2AA",-3.82949888919925,-7.03497706077819,-0.624020717620303,0.0194369614554947,0.126927168809305,0.114630368369999,2.26251753504982e-06
"PER3BCRY2GGGG",-5.70111852946185,-9.11872187382887,-2.28351518509483,0.00117943029560596,0.126927168809305,0.114630368369999,2.26251753504982e-06
"AGE",-138.318921187925,-199.14198641869,-77.4958559571603,1.2036814546393e-05,0.126927168809305,0.114630368369999,2.26251753504982e-06
